x,y,_id
-29.768492,24.210258,0
40.118553,-14.00647,1
3.3094022,7.8926935,2
-39.768726,-13.101749,3
4.0785594,37.315857,4
48.85177,-23.355822,5
52.474934,16.085508,6
-15.571487,35.198055,7
-13.992174,-33.2873,8
31.170721,25.066624,9
-11.818535,-16.7923,10
-24.445845,11.24512,11
-16.17303,4.656419,12
23.775812,15.667854,13
-5.926612,40.174862,14
-4.9747696,-17.054604,15
-9.834988,-27.72795,16
-2.6428783,13.998828,17
10.089899,23.613142,18
-39.20525,-16.81352,19
25.087385,-2.8366933,20
40.189293,-6.0475893,21
39.125027,-7.1708455,22
22.281857,-27.182446,23
2.6509783,25.714592,24
-22.975094,-24.661634,25
-51.95675,1.4290935,26
-52.17918,1.3501692,27
-3.9347985,-10.189645,28
-52.018032,12.058432,29
50.26676,6.1327853,30
-8.704723,-19.160948,31
39.69993,0.45037657,32
-10.124866,23.816017,33
-45.923145,-5.526684,34
41.631996,1.4516027,35
10.726616,-25.677578,36
36.860394,-16.247646,37
-13.465844,33.39116,38
18.480204,3.4386938,39
38.124977,6.898227,40
18.51597,11.2963295,41
-36.110416,-15.735777,42
-36.389217,-9.157153,43
5.1897984,6.7914057,44
-11.10404,3.0040581,45
-33.0554,-20.987242,46
-48.745846,6.497164,47
29.996408,-19.778986,48
32.86857,21.139471,49
13.200331,-4.576697,50
2.1156125,5.582884,51
-21.611486,26.628593,52
7.5010767,29.309797,53
39.208748,15.034025,54
-51.60669,20.387676,55
9.939512,27.791899,56
10.751152,-33.91664,57
12.910701,16.894035,58
21.857008,23.920029,59
-22.728949,27.630337,60
-9.044757,19.413668,61
-32.019787,-10.285681,62
26.77946,7.272014,63
50.314953,-2.3759172,64
-19.202242,-11.6940775,65
-16.334267,-29.295563,66
39.75544,-22.754856,67
-18.780685,25.59179,68
-17.736904,-26.649965,69
-31.728617,12.18593,70
-14.149802,-39.05507,71
33.730755,-14.6898575,72
16.76526,-31.933332,73
4.6528125,-7.797676,74
-11.624819,-23.163961,75
-4.945008,4.6240063,76
-44.406494,7.111204,77
5.350459,-39.5856,78
19.518581,15.4262295,79
17.785435,-11.397094,80
46.641853,-12.972448,81
33.6413,-21.30259,82
-19.268473,-20.304014,83
-14.020373,-2.8259208,84
-7.574786,-19.987068,85
-34.960003,12.495949,86
-55.202072,18.641584,87
-26.484665,-31.911983,88
-45.565315,8.906103,89
34.379093,15.965329,90
22.793697,-2.8581166,91
17.174711,3.385298,92
-4.631027,-10.8720045,93
-38.687,29.31638,94
-24.467112,-26.337173,95
-42.439697,-9.664407,96
32.89881,-12.573249,97
-13.255524,-36.72209,98
28.685722,12.852331,99
33.14319,4.5610995,100
61.68931,11.839515,101
7.9563146,-29.293306,102
37.54343,-20.87597,103
47.277214,18.930014,104
-19.137636,-24.801449,105
-20.53232,25.836403,106
-3.0332062,10.771193,107
17.833803,16.484602,108
-16.313711,-21.759293,109
-1.8378003,37.619473,110
45.96805,-13.29346,111
-21.956463,28.811457,112
11.700211,-23.019087,113
-28.46981,0.8369451,114
13.020312,2.7689643,115
-13.475432,34.78689,116
46.372936,23.071163,117
22.486502,-26.298336,118
-2.2314034,-44.450443,119
-2.633028,14.007454,120
55.09833,16.76121,121
35.35476,-16.691008,122
-18.134241,-4.395037,123
19.234453,-7.902852,124
-53.991882,24.884161,125
-11.527552,0.13979894,126
-23.821655,-5.232462,127
23.120274,-4.693107,128
-24.066187,12.285933,129
-16.39727,8.104513,130
-42.39983,25.045025,131
-1.573965,-29.030167,132
50.647465,5.3171225,133
-5.204547,-37.814583,134
48.8577,-23.375603,135
35.59082,-26.373503,136
10.044616,-10.240739,137
20.128464,5.8565154,138
-36.796093,-24.973948,139
7.576988,32.231777,140
43.397392,0.48739555,141
14.940214,8.351066,142
41.906166,29.345953,143
-14.410291,-20.959032,144
0.059488133,-25.773474,145
-58.205612,14.139337,146
-16.829628,21.703474,147
52.10831,15.0567045,148
-49.954136,-0.8096644,149
14.5404005,-11.002145,150
-0.2580193,35.36416,151
-26.474426,-33.861347,152
-10.290276,-32.215435,153
-11.38237,3.3134096,154
40.550377,-16.158316,155
49.66009,27.588383,156
-16.651028,24.57855,157
38.927418,2.0631373,158
15.645874,-27.7662,159
-40.870266,10.4406,160
9.099306,-36.660305,161
6.232489,-16.273119,162
21.266706,-23.03352,163
22.432522,-33.779755,164
-22.200752,-26.61867,165
-24.208067,-36.034286,166
48.093754,26.069754,167
27.176054,-36.0237,168
-23.625483,9.144019,169
24.575478,-1.4901409,170
-37.05799,24.647533,171
-18.92353,-28.525208,172
-48.544563,3.6794195,173
-23.310083,19.085398,174
-49.282696,-0.8298557,175
-25.217884,19.687346,176
10.828383,5.5740795,177
-24.189125,-0.975443,178
63.461815,9.200601,179
35.86979,-12.808275,180
-20.170166,-33.912655,181
44.967205,-17.166985,182
-33.22557,-33.880768,183
-10.489757,29.687819,184
-41.254204,23.604948,185
-24.79805,-5.581663,186
43.60552,16.432262,187
50.948708,20.75792,188
18.880009,-11.146717,189
8.666596,35.21532,190
-41.96527,-12.834998,191
-53.745968,1.2630756,192
-19.789457,-28.768894,193
56.89036,4.0543647,194
-30.945864,-8.054807,195
-3.4468415,33.16005,196
-8.027521,26.973637,197
-20.332138,-25.927818,198
37.627697,-13.046638,199
-22.21962,-21.689651,200
-20.846262,19.173836,201
29.478857,-17.229013,202
11.310791,32.142624,203
-24.715046,-20.108004,204
-52.649494,13.903545,205
-7.1766276,-31.807518,206
13.233961,-18.264091,207
-13.942248,-9.630711,208
47.99323,-1.9999118,209
-37.98239,22.007381,210
14.589189,-27.95346,211
-11.608672,19.88133,212
-21.223986,29.621368,213
-1.2974161,-31.488483,214
37.7747,16.050756,215
-35.436287,9.342278,216
-30.438011,-0.682869,217
-55.008778,0.7478312,218
36.87122,24.101572,219
-1.8876185,-10.849716,220
0.2733982,-31.920677,221
-0.5510309,-34.650578,222
-25.380018,16.194914,223
4.2049637,-40.460823,224
46.739395,4.949353,225
-1.3166094,-17.739294,226
11.247094,-13.018839,227
18.917994,-9.277108,228
-44.842148,3.7336187,229
2.0499945,-36.91992,230
-37.57699,-20.197454,231
8.924,-4.9101744,232
-0.44437402,12.372786,233
-45.87315,14.080323,234
-4.2327347,40.7921,235
-34.88677,12.724592,236
-21.70288,28.084806,237
-33.38163,20.194874,238
-36.023506,-0.8879132,239
17.468954,16.225891,240
9.850988,-18.140364,241
-8.117514,-26.217714,242
12.600415,-8.779255,243
-20.802633,9.549985,244
-39.796127,-20.638323,245
-16.993715,-3.114451,246
-31.745447,-33.013283,247
47.326885,9.805422,248
5.0050325,-7.4729342,249
-7.661867,12.887568,250
3.0749435,-10.155948,251
-16.064222,-27.391846,252
-12.094231,-34.538307,253
-49.731018,16.2112,254
-29.68498,10.6112175,255
25.357325,-14.978499,256
-7.5801826,-34.00571,257
38.88882,12.371076,258
-56.504353,7.362101,259
60.50847,9.521978,260
2.6290166,0.61040014,261
38.759357,-0.7123519,262
17.66681,-4.994276,263
-2.7775145,29.878595,264
30.750479,-17.786041,265
-43.88314,-6.2726326,266
44.35868,7.4121413,267
27.150349,24.21629,268
1.2436894,-33.409565,269
25.770817,-2.8897047,270
-19.48715,24.141178,271
-6.2214794,31.605715,272
-16.84107,-17.503517,273
21.328451,-18.32639,274
4.488953,22.962034,275
-7.500328,37.587795,276
48.959652,14.130543,277
-24.007793,24.258318,278
-41.602665,13.312832,279
6.859787,27.141176,280
-36.151295,16.110182,281
-0.67371804,-40.02893,282
-26.932241,-3.0095632,283
32.522903,-33.475574,284
